Day,Week,Task,Owner (Main),Co-Owner,Purpose
1,1,"Define ICP + 10-15 launch suburbs (Richmond, Northcote, Elwood, Camberwell, Brunswick, Caulfield, etc.)",Ops Lead 1,,Anchor all marketing and website copy.
2,1,"Finalise 3 service bundles: Standard, Deep, Move-in",Ops Lead 1,,Give customers simple and predictable choices.
3,1,"Lock pricing ($35-45 Standard / $55-75 Deep) + publish Pricing page",Ops Lead 1,,Be transparent and competitively positioned.
4,1,"Build 5-7 core pages: Home, Services, How It Works, About, FAQ",Ops Lead 1,,Create a clear path from 'what is this?' to 'I book this'.
5,1,"Create & verify Google Business Profile (Main10 Clean - Melbourne Residential Cleaning)",Ops Lead 1,,Start ranking for 'cleaner in [suburb]'.
6,1,"Draft FAQ: trust, access, pets/kids, hidden-fee fears",Ops Lead 1,,Pre-empt common objections.
7,1,"Objection-handling drill with 5 cleaners (trust, price, access, pets)",Ops Lead 1,,Make cleaners sound consistent and professional.
8,2,"Finalise homepage + Services page layout (clear CTAs)",Ops Lead 1,,Increase conversion from first visit.
9,2,"Launch 5-7 suburb landing pages (one per suburb)",Ops Lead 1,,Capture local search traffic.
10,2,"Add 1-2 CTAs per page + connect to booking form/calendar",Ops Lead 1,,Reduce friction between interest and booking.
11,2,"Finalise GBP: categories, attributes, 10-15 photos",Ops Lead 1,,Boost views, clicks, and calls.
12,2,"Publish 3 GBP posts: promo, 'why choose us', 'new suburbs'",Ops Lead 1,,Signal activity and offers.
13,2,"Set up online booking form + confirmation emails/SMS",Ops Lead 1,,Capture leads 24/7 even when you're offline.
14,2,"Test 1-2 dummy bookings end-to-end (confirm to invoice to internal log)",Ops Lead 1,,Fix friction before real clients arrive.
15,3,"Design QR feedback card (front + back)",Ops Lead 2,,Make reviews fast and rewarding.
16,3,"Set up QR workflow: QR to feedback form to Google review page",Ops Lead 2,,Automate review acquisition.
17,3,"Draft 3-email review sequence (Days 1, 3, 7)",Ops Lead 2,,Capture reviews and referrals systematically.
18,3,"Train cleaners (1-5) on QR usage, review prompts, and flagging issues",Ops Lead 1 + Ops Lead 2,,Turn cleaners into review ambassadors.
19,3,"List 10-15 service-area suburbs in GBP + on website",Ops Lead 1,,Avoid 'we don't service that' surprises.
20,3,"Soft-launch to 3-5 suburbs (Richmond, Northcote, Elwood, Camberwell, Brunswick) with 3-5 cleaners",Ops Lead 2,5 cleaners,Test demand and pricing and process in a safe bubble.
21,3,"Collect feedback from 5-10 jobs: wins, friction, access issues",Ops Lead 2,,Refine website and pricing and SOPs.
22,4,"Launch public promo: 10% off first clean + recurring discount",Ops Lead 2,,Drive first-time bookings.
23,4,"Launch 2-3 hyper-local FB/IG ads (1-3 km, 3-5 suburbs)",Ops Lead 2,,Amplify beyond organic search.
24,4,"Review and respond to all GBP reviews (positive + negative)",Ops Lead 2,,Build trust and local ranking.
25,4,"Post 1 GBP update per suburb per week (promo, 'new suburbs', thank-yous)",Ops Lead 2,,Keep profile active and visible.
26,4,"Review KPIs: leads, bookings, GBP views, calls, reviews",Ops Lead 1 + Ops Lead 2,,Spot 1-2 quick-win changes.
27,4,"Optimise 3 top-performing suburb pages (CTAs, copy, FAQs)",Ops Lead 1,,Maximise per-suburb performance.
28,4,"Add 3-5 new suburb landing pages (e.g. Caulfield East, Brunswick East)",Ops Lead 1,,Expand reach efficiently.
29,4,"Finalise 1-page SOP for cleaners (arrival, checklist, access, QR, feedback)",Ops Lead 1 + Ops Lead 2,,Standardise quality across 5 cleaners.
30,4,"30-minute review: wins, gaps, 3-5 Month-2 priorities",Ops Lead 1 + Ops Lead 2,,Turn launch into a long-term playbook.
